code,kappa,f2,Mf2,ma,mb,mass,q,eos,gamma,R
sacra,8.200,3.470,0.048,1.400,1.400,2.800,1.000,APR4,1.800,-0.004
sacra,49.500,3.400,0.047,1.500,1.300,2.800,1.154,APR4,1.800,0.001
whisky,60.330,3.462,0.046,1.350,1.350,2.700,1.000,APR4,2.000,0.002
sacra,61.100,3.310,0.044,1.400,1.300,2.700,1.077,APR4,1.800,-0.000
sacra,61.300,3.450,0.046,1.350,1.350,2.700,1.000,APR4,1.600,0.002
sacra,61.300,3.255,0.043,1.350,1.350,2.700,1.000,APR4,1.800,-0.001
sacra,61.300,3.330,0.044,1.350,1.350,2.700,1.000,APR4,2.000,-0.000
sacra,61.800,3.230,0.043,1.450,1.250,2.700,1.160,APR4,1.800,-0.001
sacra,63.800,3.425,0.046,1.500,1.200,2.700,1.250,APR4,1.600,0.001
sacra,63.800,3.370,0.045,1.500,1.200,2.700,1.250,APR4,1.800,0.001
sacra,63.800,3.180,0.042,1.500,1.200,2.700,1.250,APR4,2.000,-0.002
whisky,67.674,3.373,0.044,1.325,1.325,2.650,1.000,APR4,2.000,0.000
whisky,73.179,3.338,0.044,1.350,1.350,2.700,1.000,SLy,2.000,0.001
bam,74.000,3.480,0.046,1.350,1.350,2.700,1.000,SLy,1.750,0.003
bam,74.000,3.490,0.046,1.350,1.350,2.700,1.000,SLy,1.750,0.004
sacra,74.000,3.480,0.046,1.350,1.350,2.700,1.000,SLy,1.800,0.003
sacra,74.300,3.390,0.045,1.400,1.300,2.700,1.077,SLy,1.800,0.002
bam,75.000,3.420,0.045,1.450,1.250,2.700,1.160,SLy,1.750,0.003
sacra,75.500,3.320,0.044,1.450,1.250,2.700,1.160,SLy,1.800,0.001
whisky,75.973,3.279,0.042,1.300,1.300,2.600,1.000,APR4,2.000,-0.001
sacra,76.800,3.210,0.041,1.300,1.300,2.600,1.000,APR4,1.800,-0.001
sacra,77.000,3.200,0.041,1.250,1.350,2.600,1.080,APR4,1.800,-0.002
sacra,77.900,3.340,0.044,1.500,1.200,2.700,1.250,SLy,1.800,0.002
sacra,78.200,3.140,0.040,1.400,1.200,2.600,1.167,APR4,1.800,-0.002
whisky,82.537,3.282,0.043,1.325,1.325,2.650,1.000,SLy,2.000,0.001
whisky,85.369,3.229,0.041,1.275,1.275,2.550,1.000,APR4,2.000,-0.001
bam,91.000,2.860,0.038,1.350,1.350,2.700,1.000,ENG,1.750,-0.003
whisky,93.152,3.229,0.041,1.300,1.300,2.600,1.000,SLy,2.000,0.000
sacra,94.200,3.160,0.040,1.300,1.300,2.600,1.000,SLy,1.800,-0.000
whisky,94.875,3.212,0.041,1.350,1.250,2.600,1.080,SLy,2.000,0.000
bam,96.000,3.050,0.039,1.400,1.200,2.600,1.167,SLy,1.750,-0.002
whisky,105.208,3.235,0.041,1.275,1.275,2.550,1.000,SLy,2.000,0.001
sacra,111.600,2.920,0.040,1.400,1.400,2.800,1.000,ALF2,1.800,0.001
bam,115.000,2.570,0.034,1.350,1.350,2.700,1.000,MPA1,1.750,-0.005
whisky,118.926,3.154,0.039,1.250,1.250,2.500,1.000,SLy,2.000,0.000
bam,126.000,2.790,0.034,1.400,1.100,2.500,1.273,SLy,1.750,-0.004
sacra,133.400,2.930,0.042,1.450,1.450,2.900,1.000,H4,1.800,0.004
bam,138.000,2.730,0.036,1.350,1.350,2.700,1.000,ALF2,1.750,-0.001
bam,138.000,2.805,0.037,1.350,1.350,2.700,1.000,ALF2,1.750,0.000
sacra,138.300,2.720,0.039,1.600,1.300,2.900,1.231,H4,1.800,0.002
sacra,139.100,2.770,0.037,1.350,1.350,2.700,1.000,ALF2,1.800,-0.000
sacra,139.200,2.770,0.037,1.400,1.300,2.700,1.077,ALF2,1.800,-0.000
bam,140.000,2.665,0.035,1.450,1.250,2.700,1.160,ALF2,1.750,-0.001
sacra,140.400,2.650,0.035,1.450,1.250,2.700,1.160,ALF2,1.800,-0.002
sacra,140.700,2.820,0.038,1.500,1.200,2.700,1.250,ALF2,1.800,0.001
whisky,153.270,2.693,0.035,1.325,1.325,2.650,1.000,ALF2,2.000,-0.001
sacra,167.500,2.780,0.038,1.400,1.400,2.800,1.000,H4,1.800,0.003
sacra,169.800,2.505,0.035,1.500,1.300,2.800,1.154,H4,1.800,-0.000
whisky,170.812,2.655,0.034,1.300,1.300,2.600,1.000,ALF2,2.000,-0.001
sacra,172.900,2.630,0.034,1.300,1.300,2.600,1.000,ALF2,1.800,-0.001
whisky,190.425,2.574,0.032,1.275,1.275,2.550,1.000,ALF2,2.000,-0.001
whisky,208.331,2.501,0.033,1.350,1.350,2.700,1.000,ALF2,2.000,0.001
sacra,209.600,2.590,0.034,1.350,1.350,2.700,1.000,H4,1.600,0.002
sacra,209.600,2.530,0.034,1.350,1.350,2.700,1.000,H4,1.800,0.001
sacra,209.600,2.490,0.033,1.350,1.350,2.700,1.000,H4,2.000,0.000
sacra,209.900,2.475,0.033,1.400,1.300,2.700,1.077,H4,1.800,0.000
bam,210.000,2.567,0.034,1.350,1.350,2.700,1.000,H4,1.750,0.002
bam,211.000,2.500,0.033,1.350,1.350,2.700,1.000,H4,1.750,0.001
sacra,211.400,2.440,0.032,1.450,1.250,2.700,1.160,H4,1.800,-0.000
bam,212.000,2.356,0.031,1.450,1.250,2.700,1.160,H4,1.750,-0.001
whisky,212.363,2.493,0.031,1.250,1.250,2.500,1.000,ALF2,2.000,-0.002
whisky,213.731,2.595,0.035,1.350,1.350,2.700,1.000,GNH3,2.000,0.002
bam,216.000,2.380,0.029,1.400,1.100,2.500,1.273,ALF2,1.750,-0.003
sacra,216.700,2.320,0.031,1.500,1.200,2.700,1.250,H4,1.600,-0.001
sacra,216.700,2.340,0.031,1.500,1.200,2.700,1.250,H4,1.800,-0.001
sacra,216.700,2.300,0.031,1.500,1.200,2.700,1.250,H4,2.000,-0.002
sacra,220.300,2.110,0.030,1.450,1.450,2.900,1.000,MS1,1.800,-0.002
sacra,226.300,2.120,0.030,1.600,1.300,2.900,1.231,MS1,1.800,-0.001
whisky,233.081,2.449,0.032,1.325,1.325,2.650,1.000,ALF2,2.000,0.001
whisky,236.963,2.443,0.029,1.225,1.225,2.450,1.000,ALF2,2.000,-0.002
whisky,240.881,2.479,0.032,1.325,1.325,2.650,1.000,GNH3,2.000,0.001
whisky,260.887,2.356,0.030,1.300,1.300,2.600,1.000,ALF2,2.000,-0.000
sacra,261.600,2.310,0.030,1.300,1.300,2.600,1.000,H4,1.800,-0.001
sacra,262.500,2.260,0.029,1.350,1.250,2.600,1.080,H4,1.800,-0.001
sacra,266.400,2.370,0.030,1.400,1.200,2.600,1.167,H4,1.800,0.000
sacra,267.600,2.045,0.028,1.400,1.400,2.800,1.000,MS1,1.800,-0.002
whisky,271.519,2.425,0.031,1.300,1.300,2.600,1.000,GNH3,2.000,0.001
whisky,277.560,2.127,0.030,1.450,1.450,2.900,1.000,Gamma2,2.000,0.001
whisky,279.590,2.355,0.030,1.350,1.250,2.600,1.080,GNH3,2.000,0.001
bam,290.000,2.000,0.027,1.350,1.350,2.700,1.000,MS1b,1.750,-0.003
whisky,292.181,2.377,0.030,1.275,1.275,2.550,1.000,ALF2,2.000,0.001
whisky,306.188,2.302,0.029,1.275,1.275,2.550,1.000,GNH3,2.000,0.000
whisky,324.656,2.183,0.031,1.425,1.425,2.850,1.000,Gamma2,2.000,0.003
bam,325.000,1.994,0.027,1.350,1.350,2.700,1.000,MS1,1.750,-0.001
sacra,326.400,2.020,0.027,1.350,1.350,2.700,1.000,MS1,1.800,-0.001
bam,327.000,1.950,0.026,1.350,1.350,2.700,1.000,MS1,1.750,-0.002
sacra,327.100,2.050,0.027,1.400,1.300,2.700,1.077,MS1,1.800,-0.001
whisky,327.469,2.247,0.028,1.250,1.250,2.500,1.000,H4,2.000,-0.000
bam,331.000,2.065,0.027,1.450,1.250,2.700,1.160,MS1,1.750,-0.000
sacra,331.900,2.050,0.027,1.450,1.250,2.700,1.160,MS1,1.800,-0.000
sacra,335.700,2.110,0.028,1.500,1.200,2.700,1.250,MS1,1.800,0.001
whisky,345.450,2.272,0.028,1.250,1.250,2.500,1.000,GNH3,2.000,0.001
whisky,379.312,2.061,0.028,1.400,1.400,2.800,1.000,Gamma2,2.000,0.002
sacra,399.300,1.960,0.025,1.300,1.300,2.600,1.000,MS1,1.800,-0.001
bam,439.000,1.870,0.025,1.350,1.350,2.700,1.000,2H,1.750,0.000
bam,441.000,2.080,0.026,1.400,1.100,2.500,1.273,MS1b,1.750,0.001
whisky,442.800,2.004,0.027,1.375,1.375,2.750,1.000,Gamma2,2.000,0.002
bam,461.000,1.874,0.023,1.500,1.000,2.500,1.500,MS1b,1.750,-0.001
whisky,516.619,1.930,0.026,1.350,1.350,2.700,1.000,Gamma2,2.000,0.002
